time,classification,threat,confidence,alertLevel,path,durationSec,avgMoveTime,nodeCount,pirCount,vibCount,minDistance
00:00:05,ANIMAL,MEDIUM,50,1,SOUTH,0.0,0.0,1,2,0,41.06
00:00:18,ANIMAL,MEDIUM,55,1,SOUTH,0.0,0.0,1,1,0,41.06
00:00:30,ANIMAL,MEDIUM,50,1,SOUTH,0.0,0.0,1,2,0,39.86
00:00:48,ANIMAL,MEDIUM,50,1,SOUTH,0.0,0.0,1,2,0,42.48
00:01:02,ANIMAL,MEDIUM,55,1,SOUTH,0.0,0.0,1,1,0,42.46
00:01:13,ANIMAL,MEDIUM,50,1,SOUTH,0.0,0.0,1,2,0,42.48
00:01:30,ANIMAL,MEDIUM,50,1,SOUTH,0.0,0.0,1,2,0,42.02
00:01:42,ANIMAL,MEDIUM,55,1,SOUTH,0.0,0.0,1,1,0,42.46
00:01:53,ANIMAL,MEDIUM,50,1,SOUTH,0.0,0.0,1,2,0,42.02
00:02:15,ANIMAL,MEDIUM,55,1,SOUTH,0.0,0.0,1,1,0,42.02
00:02:27,ANIMAL,MEDIUM,50,1,SOUTH,0.0,0.0,1,2,0,42.0
00:02:42,ANIMAL,MEDIUM,50,1,SOUTH,0.0,0.0,1,2,0,42.02
00:03:00,ANIMAL,MEDIUM,50,1,SOUTH,0.0,0.0,1,2,0,42.02
00:03:22,ANIMAL,MEDIUM,50,1,SOUTH,0.0,0.0,1,2,0,42.0
00:03:36,ANIMAL,MEDIUM,55,1,SOUTH,0.0,0.0,1,1,0,42.0
00:03:48,ANIMAL,MEDIUM,55,1,SOUTH,0.0,0.0,1,1,0,42.0
00:03:59,ANIMAL,MEDIUM,50,1,SOUTH,0.0,0.0,1,2,0,42.0
00:04:14,ANIMAL,MEDIUM,50,1,SOUTH,0.0,0.0,1,2,0,42.02
00:04:28,ANIMAL,MEDIUM,50,1,SOUTH,0.0,0.0,1,2,0,42.0
00:04:47,ANIMAL,MEDIUM,50,1,SOUTH,0.0,0.0,1,2,0,40.37
00:05:07,ANIMAL,MEDIUM,50,1,SOUTH,0.0,0.0,1,2,0,40.37
00:00:06,HUMAN,HIGH,54,3,WEST -> SOUTH,1.55,1.55,2,3,0,9.04
00:00:18,HUMAN,HIGH,48,3,SOUTH,0.0,0.0,2,3,0,9.04
00:00:30,HUMAN,HIGH,48,3,SOUTH,0.0,0.0,2,3,0,9.04
00:00:47,HUMAN,HIGH,48,3,SOUTH,0.0,0.0,2,3,0,9.04
00:01:00,HUMAN,HIGH,48,3,SOUTH,0.0,0.0,2,3,0,3.29
00:01:12,HUMAN,HIGH,48,3,SOUTH,0.0,0.0,2,3,0,1.68
00:01:23,HUMAN,HIGH,48,3,SOUTH,0.0,0.0,2,3,0,2.01
00:01:36,HUMAN,HIGH,48,3,SOUTH,0.0,0.0,2,3,0,2.01
00:01:49,HUMAN,HIGH,47,3,SOUTH,0.0,0.0,2,2,0,9.04
00:02:04,HUMAN,HIGH,48,3,SOUTH,0.0,0.0,2,4,0,9.04
00:01:37,ANIMAL,MEDIUM,35,1,SOUTH,0.0,0.0,1,2,0,12.49
00:01:51,ANIMAL,MEDIUM,35,1,SOUTH,0.0,0.0,1,2,0,8.76
00:02:21,HUMAN,LOW,44,1,SOUTH,0.0,0.0,1,2,0,16.86
00:02:34,ANIMAL,MEDIUM,35,1,SOUTH,0.0,0.0,1,2,0,12.14
00:02:45,HUMAN,LOW,44,1,SOUTH,0.0,0.0,1,2,0,17.18
00:02:58,HUMAN,LOW,44,1,SOUTH,0.0,0.0,1,2,0,17.18
00:03:54,HUMAN,LOW,44,1,SOUTH,0.0,0.0,1,2,0,21.73
00:04:57,HUMAN,LOW,45,1,SOUTH,0.0,0.0,1,3,0,15.19
00:05:12,ANIMAL,MEDIUM,35,1,SOUTH,0.0,0.0,1,2,0,13.5
00:05:32,HUMAN,LOW,44,1,SOUTH,0.0,0.0,1,2,0,21.73
00:05:44,HUMAN,LOW,44,1,SOUTH,0.0,0.0,1,2,0,22.38
00:05:55,HUMAN,LOW,40,1,SOUTH,0.0,0.0,1,1,0,22.81
00:00:12,VEHICLE,HIGH,44,1,WEST,0.0,0.0,1,1,0,10.12
00:00:31,HUMAN,LOW,44,1,SOUTH,0.0,0.0,1,2,0,16.08
00:01:11,HUMAN,HIGH,61,3,SOUTH -> WEST,1.69,1.69,2,4,0,16.08
00:01:30,HUMAN,LOW,47,1,WEST,0.0,0.0,1,4,0,16.08
00:01:44,HUMAN,LOW,45,1,WEST,0.0,0.0,1,3,0,16.08
00:02:52,HUMAN,HIGH,60,3,WEST -> SOUTH,6.82,6.82,2,5,0,16.08
00:00:07,VEHICLE,HIGH,42,3,SOUTH -> WEST,0.85,0.85,2,3,0,10.05
00:00:18,ANIMAL,MEDIUM,35,1,WEST,0.0,0.0,1,2,0,11.49
00:00:13,ANIMAL,MEDIUM,35,1,SOUTH,0.0,0.0,1,2,0,12.14
00:00:26,VEHICLE,HIGH,45,2,SOUTH,0.0,0.0,1,2,3,11.13
00:00:45,ANIMAL,MEDIUM,35,2,SOUTH,0.0,0.0,1,2,0,12.83
00:01:02,VEHICLE,HIGH,44,1,SOUTH,0.0,0.0,1,1,0,13.5
00:01:20,VEHICLE,HIGH,45,2,SOUTH,0.0,0.0,1,2,3,9.11
00:01:40,ANIMAL,MEDIUM,35,1,SOUTH,0.0,0.0,1,2,0,8.09
00:01:52,ANIMAL,MEDIUM,50,1,SOUTH,0.0,0.0,1,2,0,31.61
00:02:05,ANIMAL,MEDIUM,35,1,SOUTH,0.0,0.0,1,2,0,8.78
00:05:15,VEHICLE,HIGH,44,1,SOUTH,0.0,0.0,1,1,0,12.05
